source,target,count
10737,9419,1
10738,9415,4
10739,9415,7
10740,9423,5
10741,9423,3
10742,9415,7
10743,9422,2
10743,9423,57
10744,9417,4
10745,9417,7
10746,9415,1
10746,9419,2
10746,9423,2
10747,9417,1
10747,9423,1
10748,9417,4
10749,9417,3
10750,9415,3
10751,9419,2
10751,9421,12
10752,9424,7
10753,9419,4
10753,9421,1
10753,9422,1
10753,9423,4
10753,9424,1
10754,9424,3
10755,9415,3
10756,9423,3
10757,9423,4
10758,9419,32
10759,9417,6
10760,9424,5
10761,9419,2
10761,9423,19
10762,9421,18
10763,9419,3
10764,9419,4
10765,9420,2
10766,9417,3
10767,9417,39
10768,9415,7
10769,9415,25
10769,9423,2
10770,9422,3
10771,9422,4
10772,9415,3
10773,9417,32
10774,9419,2
10774,9421,1
10775,9419,2
10776,9419,3
10777,9415,2
10778,9419,7
10779,9419,11
10780,9419,8
10780,9422,6
10781,9422,52
10781,9423,1
10782,9419,4
10783,9415,2
10784,9415,7
10785,9423,34
10786,9419,3
10786,9423,9
10787,9415,4
10788,9419,1
10789,9415,3
10790,9424,3
10791,9415,1
10792,9419,9
10793,9417,8
10794,9417,2
10795,9419,3
10796,9424,9
10797,9417,4
10798,9415,8
10799,9419,8
10800,9415,13
10801,9419,1
10801,9423,1
10802,9417,3
10803,9415,8
10804,9423,3
10805,9419,7
10806,9423,27
10807,9415,4
10808,9417,13
10809,9419,8
10810,9423,186
10811,9423,1
10812,9415,3
10813,9417,11
10814,9419,5
10815,9415,3
10816,9422,3
10816,9423,3
10817,9417,4
10818,9417,4
10819,9417,9
10820,9417,5
10821,9417,2
10821,9419,1
10822,9419,4
10823,9419,2
10823,9424,2
10824,9423,3
10825,9417,5
10826,9423,1
10827,9415,5
10828,9415,4
10829,9423,5
10830,9419,4
10831,9419,12
10832,9419,12
10833,9417,3
10834,9419,73
10834,9423,1
10835,9417,2
10836,9417,11
10837,9415,18
10837,9424,1
10838,9423,14
10839,9423,4
10840,9424,3
10841,9419,7
10842,9417,26
10843,9423,4
10844,9417,8
10845,9417,4
10846,9419,4
10847,9423,2
10848,9415,7
10849,9419,7
10850,9419,12
10851,9417,11
10852,9415,3
10853,9423,19
10854,9415,3
10855,9415,3
10856,9417,1
10857,9422,1
10857,9423,21
10858,9415,11
10859,9415,3
10860,9422,1
10860,9423,3
10861,9424,12
10862,9423,4
10863,9415,3
10863,9423,1
10864,9423,6
10865,9417,11
10865,9419,12
10866,9424,2
10867,9417,9
10867,9420,2
10867,9423,24
10867,9424,11
10868,9415,2
10868,9419,436
10868,9422,12
10869,9419,307
10869,9422,1
10870,9417,3
10871,9417,3
10872,9419,1
10872,9423,4
10873,9417,1
10873,9420,2
10873,9423,5
10873,9424,1
10874,9419,7
10875,9419,1
10876,9419,10
10877,9415,3
10878,9419,3
10879,9417,5
10880,9415,26
10881,9415,85
10882,9415,18
10883,9416,5
10884,9423,3
10885,9419,44
10886,9422,3
10886,9423,36
10887,9422,30
10887,9423,8
10888,9423,1
10889,9416,6
10890,9417,8
10891,9423,10
10892,9422,8
10893,9419,29
10894,9419,4
10895,9419,2
10896,9419,3
10897,9417,2
10897,9418,1
10898,9415,38
10899,9417,1
10899,9421,3
10899,9423,3
10900,9423,4
10901,9415,2
10902,9419,5
10903,9415,5
10904,9415,1
10904,9417,7
10904,9423,5
10905,9415,1
10905,9419,43
10906,9417,5
10907,9423,12
10908,9415,439
10909,9417,7
10910,9415,73
10910,9419,1
10911,9417,6
10911,9423,1
10912,9415,2
10912,9417,1
10913,9419,44
10914,9415,22
10915,9422,2
10916,9417,3
10917,9423,3
10918,9417,1
10918,9423,2
10919,9416,12
10920,9419,2
10920,9423,1
10921,9415,10
10922,9419,10
10923,9424,23
10924,9419,7
10924,9422,1
10925,9419,12
10926,9424,4
10927,9417,24
10928,9415,3
10929,9419,2
10930,9419,2
10931,9423,12
10932,9417,1
10932,9419,6
10933,9415,10
10933,9417,1
10934,9415,11
10935,9415,5
10936,9419,4
10936,9423,2
10937,9417,4
10938,9421,2
10938,9423,1
10939,9422,32
10940,9424,7
10941,9419,1
10941,9424,1
10942,9423,3
10943,9419,48
10944,9419,14
10945,9415,5
10946,9423,27
10947,9419,5
10947,9423,1
10948,9415,22
10949,9415,5
10949,9419,25
10950,9415,4
10950,9423,1
10951,9423,1
10951,9424,2
10952,9423,3
10953,9419,91
10954,9419,3
10955,9423,7
10956,9423,1
10957,9417,6
10958,9419,7
10959,9415,13
10960,9423,1
10961,9417,5
10962,9419,51
10963,9415,4
10964,9415,4
10965,9419,3
10966,9419,4
10966,9423,1
10967,9423,17
10968,9417,25
10969,9417,115
10969,9419,11
10969,9423,8
10969,9424,6
10970,9419,2
10971,9422,24
10971,9423,1
10972,9415,1
10972,9419,2
10973,9419,16
10974,9423,3
10975,9415,1
10975,9417,8
10975,9419,7
10975,9421,28
10975,9423,1
10976,9417,10
10976,9419,1
10976,9423,13
10977,9415,7
10978,9424,22
10979,9423,15
10980,9419,8
10981,9419,344
10981,9422,4
10981,9423,1
10982,9419,125
10983,9423,3
10983,9424,1
10984,9419,3
10985,9415,44
10986,9415,29
10987,9415,25
10987,9417,1
10988,9423,6
10989,9415,6
10989,9424,1
10990,9415,5
10991,9419,15
10992,9417,5
10993,9422,2
10993,9423,1
10994,9415,3
10995,9419,7
10996,9419,15
10997,9415,6
10998,9423,2
10999,9419,7
11000,9419,53
11001,9419,6
11002,9417,3
11003,9419,3
11003,9422,1
11004,9417,2
11005,9417,8
11006,9415,1
11006,9419,9
11006,9422,1
11007,9419,5
11008,9419,11
11009,9415,19
11010,9422,129
11011,9419,3
11012,9417,3
11013,9417,6
11013,9423,1
11014,9419,6
11014,9422,65
11015,9417,3
11015,9423,11
11015,9424,11
11016,9419,2
11017,9419,2
11018,9415,15
11019,9419,3
11020,9415,2
11020,9417,39
11020,9419,3
11020,9423,1
11021,9419,1
11022,9415,4
11023,9417,7
11024,9415,1
11024,9419,3
11024,9422,1
11024,9423,1
11025,9423,13
11025,9424,23
11026,9415,68
11027,9423,3
11028,9415,4
11028,9419,13
11029,9417,10
11029,9423,1
11030,9423,40
11031,9419,158
11032,9419,3
11032,9422,2
11032,9423,1
11033,9419,10
11034,9424,3
11035,9424,2
11036,9423,4
11037,9419,3
11038,9415,2
11038,9419,2
11038,9423,12
11039,9419,44
11040,9415,9
11040,9417,8
11040,9419,17
11040,9423,8
11041,9419,24
11042,9419,10
11043,9422,4
11044,9417,5
11044,9423,1
11045,9423,7
11046,9423,12
11047,9415,6
11048,9415,6
11049,9419,5
11050,9424,1
11051,9415,7
11052,9415,4
11053,9417,9
11054,9419,9
11055,9415,1
11055,9423,11
11056,9417,3
11057,9423,2
11057,9424,1
11058,9419,3
11058,9423,1
11059,9419,13
11060,9419,7
11061,9423,4
11062,9422,10
11063,9415,1
11064,9415,8
11064,9417,1
11065,9415,1
11065,9423,6
11066,9416,3
11067,9415,220
11068,9417,25
11068,9423,11
11069,9415,14
11070,9419,5
11070,9422,1
11071,9417,16
11072,9415,3
11073,9419,34
11074,9415,24
11075,9422,12
11076,9419,2
11077,9419,9
11078,9419,6
11079,9419,9
11080,9415,11
11081,9423,7
11081,9424,4
11082,9417,1
11083,9423,3
11084,9417,1
11084,9419,2
11085,9415,1
11086,9415,53
11087,9419,1
11087,9423,2
11088,9419,25
11089,9423,4
11090,9415,8
11091,9417,4
11091,9419,1
11092,9424,29
11093,9423,1
11093,9424,1
11094,9415,41
11095,9415,57
11095,9419,1
11096,9415,2
11097,9415,5
11097,9423,5
11098,9423,5
11098,9424,4
11099,9419,2
11099,9421,2
11100,9423,47
11101,9416,4
11102,9419,20
11103,9419,3
11104,9415,3
11104,9417,3
11105,9415,83
11106,9419,3
11107,9417,19
11108,9415,14
11109,9419,4
11110,9419,4
11111,9424,3
11112,9419,38
11113,9419,10
11114,9419,9
11115,9417,10
11116,9419,12
11116,9423,1
11117,9415,8
11118,9415,15
11119,9423,3
11120,9415,6
11120,9417,2
11120,9424,1
11121,9415,7
11122,9417,4
11122,9423,11
11122,9424,1
11123,9417,9
11123,9423,1
11124,9415,1
11124,9419,7
11125,9419,2
11125,9423,1
11126,9415,9
11127,9417,3
11128,9423,15
11128,9424,9
11129,9424,34
11130,9419,37
11131,9419,3
11132,9419,2
11133,9419,25
11134,9423,3
11135,9419,9
11136,9415,170
11137,9415,93
11138,9419,72
11139,9421,3
11140,9419,1
11141,9417,5
11142,9419,6
11143,9415,6
11144,9419,1
11144,9421,4
11145,9419,4
11146,9419,6
11147,9419,1
11148,9419,3
11149,9423,3
11149,9424,7
11150,9419,3
11151,9415,18
11152,9415,1
11152,9417,1
11152,9423,4
11153,9417,2
11153,9423,4
11154,9415,3
11155,9423,3
11156,9423,4
11157,9417,3
11158,9415,1
11158,9417,2
11158,9419,7
11158,9423,3
11159,9417,6
11160,9419,8
11161,9423,6
11162,9423,12
11162,9424,1
11163,9417,5
11164,9419,4
11165,9419,1
11165,9423,2
11166,9415,350
11167,9415,3
11167,9419,4
11168,9415,1
11169,9419,47
11169,9423,1
11170,9415,8
11171,9419,3
11172,9419,17
11173,9424,1
11174,9417,3
11175,9417,5
11176,9417,2
11176,9423,1
11177,9423,3
11178,9417,6
11179,9419,4
11180,9419,3
11181,9424,3
11182,9419,4
11183,9419,8
11184,9417,1
11184,9423,47
11185,9417,14
11186,9423,3
11187,9417,4
11188,9419,3
11189,9417,5
11190,9419,9
11191,9419,6
11192,9415,6
11193,9419,3
11194,9416,3
11195,9423,1
11196,9417,6
11196,9422,1
11196,9423,2
11197,9424,3
11198,9419,6
11199,9420,4
11200,9415,5
11201,9417,27
11202,9419,6
11203,9415,60
11204,9417,14
11205,9415,7
11206,9419,3
11207,9424,4
11208,9415,47
11209,9417,4
11210,9419,8
11211,9417,3
11212,9424,2
11213,9415,6
11214,9417,24
11215,9423,23
11216,9417,5
11217,9415,10
11218,9417,2
11219,9417,20
11220,9417,5
11221,9417,2
11221,9424,1
11222,9419,39
11223,9415,3
11224,9419,7
11225,9415,13
11226,9423,5
11227,9417,2
11227,9423,3
11228,9422,105
11229,9415,98
11230,9415,21
11231,9415,7
11232,9422,14
11232,9423,48
11233,9415,283
11234,9423,7
11235,9415,9
11236,9419,4
11237,9417,11
11238,9424,3
11239,9423,3
11240,9419,3
11241,9424,5
11242,9419,4
11243,9423,9
11244,9423,10
11245,9415,8
11246,9419,10
11247,9415,3
11248,9424,5
11249,9415,7
11250,9419,13
11251,9417,1
11252,9423,2
11252,9424,1
11253,9415,30
11253,9419,5
11254,9419,15
11255,9423,11
11255,9424,155
11256,9417,10
11257,9423,8
11258,9415,2
11258,9419,10
11258,9421,4
11259,9415,142
